reporterCode,cmdCode,status,rows,file,message,checked_at
116,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_116\116_282090_M_2019_partners.csv,,2026-07-15T20:51:23
116,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_116\116_811100_M_2019_partners.csv,,2026-07-15T20:51:23
120,260200,no_data,0,,,2026-07-15T20:51:23
120,282010,no_data,0,,,2026-07-15T20:51:23
120,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_120\120_282090_M_2019_partners.csv,,2026-07-15T20:51:23
120,811100,no_data,0,,,2026-07-15T20:51:23
124,260200,downloaded,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_124\124_260200_M_2019_partners.csv,,2026-07-15T20:51:23
124,282010,downloaded,11,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_124\124_282010_M_2019_partners.csv,,2026-07-15T20:51:23
124,282090,downloaded,13,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_124\124_282090_M_2019_partners.csv,,2026-07-15T20:51:23
124,811100,downloaded,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_124\124_811100_M_2019_partners.csv,,2026-07-15T20:51:23
136,260200,no_data,0,,,2026-07-15T20:51:24
136,282010,no_data,0,,,2026-07-15T20:51:24
136,282090,no_data,0,,,2026-07-15T20:51:24
136,811100,no_data,0,,,2026-07-15T20:51:24
140,260200,no_data,0,,,2026-07-15T20:51:24
140,282010,no_data,0,,,2026-07-15T20:51:24
140,282090,no_data,0,,,2026-07-15T20:51:24
140,811100,no_data,0,,,2026-07-15T20:51:24
148,260200,no_data,0,,,2026-07-15T20:51:24
148,282010,no_data,0,,,2026-07-15T20:51:24
148,282090,no_data,0,,,2026-07-15T20:51:24
148,811100,no_data,0,,,2026-07-15T20:51:24
152,260200,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_152\152_260200_M_2019_partners.csv,,2026-07-15T20:51:24
152,282010,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_152\152_282010_M_2019_partners.csv,,2026-07-15T20:51:24
152,282090,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_152\152_282090_M_2019_partners.csv,,2026-07-15T20:51:24
152,811100,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_152\152_811100_M_2019_partners.csv,,2026-07-15T20:51:24
156,260200,downloaded,42,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_156\156_260200_M_2019_partners.csv,,2026-07-15T20:51:24
156,282010,downloaded,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_156\156_282010_M_2019_partners.csv,,2026-07-15T20:51:24
156,282090,downloaded,14,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_156\156_282090_M_2019_partners.csv,,2026-07-15T20:51:24
156,811100,downloaded,17,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_156\156_811100_M_2019_partners.csv,,2026-07-15T20:51:24
344,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_344\344_260200_M_2019_partners.csv,,2026-07-15T20:51:24
344,282010,no_data,0,,,2026-07-15T20:51:24
344,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_344\344_282090_M_2019_partners.csv,,2026-07-15T20:51:24
344,811100,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_344\344_811100_M_2019_partners.csv,,2026-07-15T20:51:24
446,260200,no_data,0,,,2026-07-15T20:51:24
446,282010,no_data,0,,,2026-07-15T20:51:24
446,282090,no_data,0,,,2026-07-15T20:51:24
446,811100,no_data,0,,,2026-07-15T20:51:24
170,260200,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_170\170_260200_M_2019_partners.csv,,2026-07-15T20:51:24
170,282010,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_170\170_282010_M_2019_partners.csv,,2026-07-15T20:51:24
170,282090,downloaded,10,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_170\170_282090_M_2019_partners.csv,,2026-07-15T20:51:24
170,811100,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_170\170_811100_M_2019_partners.csv,,2026-07-15T20:51:24
174,260200,no_data,0,,,2026-07-15T20:51:24
174,282010,no_data,0,,,2026-07-15T20:51:24
174,282090,no_data,0,,,2026-07-15T20:51:24
174,811100,no_data,0,,,2026-07-15T20:51:24
